parent_item,item,item_singular
jackets,jackets,jacket
jackets,blazers,blazer
jackets,vests,vest
dresses,dresses,dress
dresses,sheaths,sheath
dresses,shirtdresses,shirtdress
dresses,slips,slip
dresses,sundresses,sundress
dresses,shifts,shift
jumpsuits,jumpsuits,jumpsuit
jumpsuits,rompers,romper
pants,pants,pant
pants,leggings,
pants,slacks,
skirts,skirts,skirt
suits,suits,suit
sweaters,sweaters,sweater
sweaters,ponchos,poncho
sweaters,cardigans,cardigan
sweaters,hoodies,hoodie
sweaters,pullovers,pullover
tops,tops,top
tops,blouses,blouse
tops,button-downs,button-down
tops,polos,polo
tops,tanks,tank
tops,camisoles,camisole
tops,tees,tee
tops,t-shirts,t-shirt
tops,tunics,tunic
tops,flannels,flannel
shoes,shoes,shoe
shoes,boots,boot
shoes,booties,bootie
shoes,espadrilles,
shoes,flats,
shoes,heels,heel
shoes,mules,mule
shoes,slides,
shoes,oxfords,
shoes,loafers,loafer
shoes,sandals,sandal
shoes,sneakers,
shoes,wedges,
jewelry,jewelry,
jewelry,bracelets,bracelet
jewelry,earrings,
jewelry,necklaces,necklace
jewelry,watch,
jewelry,rings,ring
accessories,accessories,accessory
belts,belts,belt
hats,hats,hat
hats,beanies,beanie
hats,berets,beret
hats,cloche,
hats,fedoras,fedora
scarves,scarves,scarf
scarves,bandanas,bandana
scarves,capes,cape
scarves,wraps,wrap
scarves,shawls,shawl
scarves,neckties,necktie